league,season,team,Player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2223,Liverpool,Mohamed Salah,EGY,FW,30,1992,38,37,3290,36.6,19,12,31,17,2,4,2,0,0.52,0.33,0.85,0.47,0.79
ENG-Premier League,2223,Liverpool,Naby Keïta,GUI,MF,27,1995,8,3,293,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Liverpool,Nathaniel Phillips,ENG,DF,25,1997,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Liverpool,Roberto Firmino,BRA,FW,30,1991,25,13,1213,13.5,11,4,15,11,0,0,0,0,0.82,0.3,1.11,0.82,1.11
ENG-Premier League,2223,Liverpool,Stefan Bajcetic,ESP,MF,17,2004,11,6,526,5.8,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17
ENG-Premier League,2223,Liverpool,Thiago Alcántara,ESP,MF,31,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Liverpool,Trent Alexander-Arnold,ENG,DF,23,1998,37,34,2923,32.5,2,9,11,2,0,0,5,0,0.06,0.28,0.34,0.06,0.34
ENG-Premier League,2223,Liverpool,Virgil van Dijk,NED,DF,31,1991,32,32,2835,31.5,3,1,4,3,0,0,3,0,0.1,0.03,0.13,0.1,0.13
ENG-Premier League,2223,Manchester City,Aymeric Laporte,ESP,"DF,MF",28,1994,12,11,993,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2223,Manchester City,Bernardo Silva,POR,"MF,FW",27,1994,34,24,2205,24.5,4,5,9,4,0,0,5,0,0.16,0.2,0.37,0.16,0.37
ENG-Premier League,2223,Manchester City,Cole Palmer,ENG,"MF,FW",20,2002,14,2,370,4.1,0,1,1,0,0,0,1,0,0.0,0.24,0.24,0.0,0.24
ENG-Premier League,2223,Manchester City,Ederson,BRA,GK,28,1993,35,35,3150,35.0,0,1,1,0,0,0,3,0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2223,Manchester City,Erling Haaland,NOR,"FW,MF",22,2000,35,33,2769,30.8,36,8,44,29,7,7,5,0,1.17,0.26,1.43,0.94,1.2
ENG-Premier League,2223,Manchester City,Jack Grealish,ENG,"FW,MF",26,1995,28,23,2055,22.8,5,7,12,5,0,0,4,0,0.22,0.31,0.53,0.22,0.53
ENG-Premier League,2223,Manchester City,John Stones,ENG,"DF,MF",28,1994,23,21,1846,20.5,2,2,4,2,0,0,2,0,0.1,0.1,0.2,0.1,0.2
ENG-Premier League,2223,Manchester City,João Cancelo,POR,DF,28,1994,17,16,1274,14.2,2,1,3,2,0,0,3,1,0.14,0.07,0.21,0.14,0.21
